Player,Pos,Team,Selection_Type,Conference,Year
Bob Kauffman,PF,Buffalo Braves,Eastern All-Star Coaches Selection,East,1971-1972
Jack Marin,SF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1971-1972
Wes Unseld,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1971-1972
Tom Van Arsdale,SF,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1971-1972
Jo Jo White,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1971-1972
Kareem Abdul-Jabbar,C,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1971-1972
Wilt Chamberlain,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1971-1972
Gail Goodrich,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1971-1972
Connie Hawkins,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1971-1972
Elvin Hayes,PF,Houston Rockets,Western All-Star Coaches Selection,West,1971-1972
Spencer Haywood,PF,Seattle SuperSonics,Western All-Star Fan Vote Selection,West,1971-1972
Bob Lanier,C,Detroit Pistons,Western All-Star Coaches Selection,West,1971-1972
Bob Love,PF,Chicago Bulls,Western All-Star Fan Vote Selection,West,1971-1972
Oscar Robertson,SG,Milwaukee Bucks,Western All-Star Coaches Selection,West,1971-1972
Cazzie Russell,SF,Golden State Warriors,Western All-Star Coaches Selection,West,1971-1972
Paul Silas,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1971-1972
Jimmy Walker,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1971-1972
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1971-1972
Sidney Wicks,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1971-1972
Kareem Abdul-Jabbar,C,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1970-1971
Dave Bing,SG,Detroit Pistons,Western All-Star Fan Vote Selection,West,1970-1971
Wilt Chamberlain,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1970-1971
Connie Hawkins,PF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1970-1971
Elvin Hayes,PF,San Diego Rockets,Western All-Star Coaches Selection,West,1970-1971
Bob Love,PF,Chicago Bulls,Western All-Star Coaches Selection,West,1970-1971
Jerry Lucas,PF,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1970-1971
Jeff Mullins,SF,San Francisco Warriors,Western All-Star Coaches Selection,West,1970-1971
Geoff Petrie,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1970-1971
Oscar Robertson,SG,Milwaukee Bucks,Western All-Star Coaches Selection,West,1970-1971
Dick Van Arsdale,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1970-1971
Chet Walker,PF,Chicago Bulls,Western All-Star Coaches Selection,West,1970-1971
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1970-1971
Lenny Wilkens,PG,Seattle SuperSonics,Western All-Star Coaches Selection,West,1970-1971
Billy Cunningham,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1970-1971
Dave DeBusschere,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1970-1971
Walt Frazier,PG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1970-1971
Johnny Green,SF,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1970-1971
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1970-1971
Lou Hudson,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1970-1971
Gus Johnson,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1970-1971
John Johnson,SF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1970-1971
Bob Kauffman,PF,Buffalo Braves,Eastern All-Star Coaches Selection,East,1970-1971
Earl Monroe,SG,Baltimore Bullets,Eastern All-Star Fan Vote Selection,East,1970-1971
Willis Reed,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,1970-1971
Wes Unseld,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1970-1971
Tom Van Arsdale,SF,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1970-1971
Jo Jo White,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1970-1971
Kareem Abdul-Jabbar,C,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1969-1970
Billy Cunningham,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1969-1970
Dave DeBusschere,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1969-1970
Walt Frazier,PG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1969-1970
Hal Greer,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1969-1970
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1969-1970
Gus Johnson,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1969-1970
Willis Reed,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,1969-1970
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1969-1970
Flynn Robinson,SG,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1969-1970
Tom Van Arsdale,SF,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1969-1970
Jimmy Walker,SG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1969-1970
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1969-1970
Bill Bridges,PF,Atlanta Hawks,Western All-Star Coaches Selection,West,1969-1970
Joe Caldwell,SF,Atlanta Hawks,Western All-Star Coaches Selection,West,1969-1970
Connie Hawkins,PF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1969-1970
Elvin Hayes,PF,San Diego Rockets,Western All-Star Coaches Selection,West,1969-1970
Lou Hudson,SF,Atlanta Hawks,Western All-Star Fan Vote Selection,West,1969-1970
Jeff Mullins,SF,San Francisco Warriors,Western All-Star Coaches Selection,West,1969-1970
Bob Rule,PF,Seattle SuperSonics,Western All-Star Coaches Selection,West,1969-1970
Nate Thurmond,PF,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1969-1970
Dick Van Arsdale,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1969-1970
Chet Walker,PF,Chicago Bulls,Western All-Star Coaches Selection,West,1969-1970
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1969-1970
Lenny Wilkens,PG,Seattle SuperSonics,Western All-Star Coaches Selection,West,1969-1970
Dave Bing,SG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1968-1969
Billy Cunningham,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1968-1969
Hal Greer,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1968-1969
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1968-1969
Gus Johnson,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1968-1969
Jerry Lucas,PF,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1968-1969
Jon McGlocklin,SF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1968-1969
Earl Monroe,SG,Baltimore Bullets,Eastern All-Star Fan Vote Selection,East,1968-1969
Willis Reed,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1968-1969
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1968-1969
Bill Russell,C,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1968-1969
Wes Unseld,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1968-1969
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1968-1969
Joe Caldwell,SF,Atlanta Hawks,Western All-Star Coaches Selection,West,1968-1969
Wilt Chamberlain,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1968-1969
Gail Goodrich,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1968-1969
Elvin Hayes,PF,San Diego Rockets,Western All-Star Fan Vote Selection,West,1968-1969
Lou Hudson,SF,Atlanta Hawks,Western All-Star Coaches Selection,West,1968-1969
Don Kojis,SF,San Diego Rockets,Western All-Star Fan Vote Selection,West,1968-1969
Rudy LaRusso,PF,San Francisco Warriors,Western All-Star Coaches Selection,West,1968-1969
Jeff Mullins,SF,San Francisco Warriors,Western All-Star Coaches Selection,West,1968-1969
Jerry Sloan,SF,Chicago Bulls,Western All-Star Coaches Selection,West,1968-1969
Dick Van Arsdale,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1968-1969
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1968-1969
Lenny Wilkens,PG,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1968-1969
Mahdi Abdul-Rahman,SG,Seattle Supersonics,Western All-Star Coaches Selection,West,1967-1968
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1967-1968
Zelmo Beaty,PF,St Louis Hawks,Western All-Star Coaches Selection,West,1967-1968
Bob Boozer,PF,Chicago Bulls,Western All-Star Fan Vote Selection,West,1967-1968
Bill Bridges,PF,St Louis Hawks,Western All-Star Coaches Selection,West,1967-1968
Archie Clark,SG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1967-1968
Jim King,SG,San Francisco Warriors,Western All-Star Coaches Selection,West,1967-1968
Don Kojis,SF,San Diego Rockets,Western All-Star Coaches Selection,West,1967-1968
Rudy LaRusso,PF,San Francisco Warriors,Western All-Star Coaches Selection,West,1967-1968
Clyde Lee,PF,San Francisco Warriors,Western All-Star Coaches Selection,West,1967-1968
Nate Thurmond,PF,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1967-1968
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1967-1968
Lenny Wilkens,PG,St Louis Hawks,Western All-Star Fan Vote Selection,West,1967-1968
Dick Barnett,SG,New York Knicks,Eastern All-Star Coaches Selection,East,1967-1968
Dave Bing,SG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1967-1968
Wilt Chamberlain,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1967-1968
Dave DeBusschere,PF,Detroit Pistons,Eastern All-Star Coaches Selection,East,1967-1968
Hal Greer,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1967-1968
John Havlicek,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1967-1968
Gus Johnson,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1967-1968
Sam Jones,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1967-1968
Jerry Lucas,PF,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1967-1968
Willis Reed,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,1967-1968
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1967-1968
Bill Russell,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1967-1968
Rick Barry,PF,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1966-1967
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1966-1967
Bill Bridges,PF,St Louis Hawks,Western All-Star Coaches Selection,West,1966-1967
Dave DeBusschere,PF,Detroit Pistons,Western All-Star Coaches Selection,West,1966-1967
Darrall Imhoff,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1966-1967
Guy Rodgers,PG,Chicago Bulls,Western All-Star Fan Vote Selection,West,1966-1967
Jerry Sloan,SF,Chicago Bulls,Western All-Star Coaches Selection,West,1966-1967
Nate Thurmond,PF,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1966-1967
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1966-1967
Lenny Wilkens,PG,St Louis Hawks,Western All-Star Coaches Selection,West,1966-1967
Wilt Chamberlain,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1966-1967
Hal Greer,SG,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1966-1967
John Havlicek,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1966-1967
Bailey Howell,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1966-1967
Jerry Lucas,PF,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1966-1967
Don Ohl,SG,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1966-1967
Willis Reed,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,1966-1967
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1966-1967
Bill Russell,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1966-1967
Chet Walker,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1966-1967
Rick Barry,PF,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1965-1966
Zelmo Beaty,PF,St Louis Hawks,Western All-Star Coaches Selection,West,1965-1966
Dave DeBusschere,PF,Detroit Pistons,Western All-Star Coaches Selection,West,1965-1966
Bailey Howell,SF,Baltimore Bullets,Western All-Star Fan Vote Selection,West,1965-1966
Rudy LaRusso,PF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1965-1966
Eddie Miles,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1965-1966
Don Ohl,SG,Baltimore Bullets,Western All-Star Coaches Selection,West,1965-1966
Guy Rodgers,PG,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1965-1966
Nate Thurmond,PF,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1965-1966
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1965-1966
Wilt Chamberlain,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1965-1966
Hal Greer,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1965-1966
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1965-1966
Sam Jones,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1965-1966
Jerry Lucas,PF,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1965-1966
Willis Reed,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1965-1966
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1965-1966
Bill Russell,C,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1965-1966
Adrian Smith,PG,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1965-1966
Chet Walker,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1965-1966
Larry Costello,PG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1964-1965
Wayne Embry,C,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1964-1965
Johnny Green,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1964-1965
Hal Greer,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1964-1965
Tommy Heinsohn,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1964-1965
Luke Jackson,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1964-1965
Sam Jones,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1964-1965
Jerry Lucas,PF,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1964-1965
Willis Reed,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1964-1965
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1964-1965
Bill Russell,C,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1964-1965
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1964-1965
Walt Bellamy,C,Baltimore Bullets,Western All-Star Coaches Selection,West,1964-1965
Wilt Chamberlain,C,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1964-1965
Terry Dischinger,SF,Detroit Pistons,Western All-Star Coaches Selection,West,1964-1965
Gus Johnson,PF,Baltimore Bullets,Western All-Star Coaches Selection,West,1964-1965
Don Ohl,SG,Baltimore Bullets,Western All-Star Coaches Selection,West,1964-1965
Bob Pettit,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1964-1965
Nate Thurmond,PF,San Francisco Warriors,Western All-Star Coaches Selection,West,1964-1965
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1964-1965
Lenny Wilkens,PG,St Louis Hawks,Western All-Star Fan Vote Selection,West,1964-1965
Len Chappell,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1963-1964
Wayne Embry,C,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1963-1964
Tom Gola,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1963-1964
Hal Greer,SG,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1963-1964
Tommy Heinsohn,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1963-1964
Sam Jones,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1963-1964
Jerry Lucas,PF,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1963-1964
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1963-1964
Bill Russell,C,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1963-1964
Chet Walker,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1963-1964
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1963-1964
Walt Bellamy,C,Baltimore Bullets,Western All-Star Fan Vote Selection,West,1963-1964
Wilt Chamberlain,C,San Francisco Warriors,Western All-Star Coaches Selection,West,1963-1964
Terry Dischinger,SF,Baltimore Bullets,Western All-Star Coaches Selection,West,1963-1964
Bailey Howell,SF,Detroit Pistons,Western All-Star Coaches Selection,West,1963-1964
Don Ohl,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1963-1964
Bob Pettit,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1963-1964
Guy Rodgers,PG,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1963-1964
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1963-1964
Lenny Wilkens,PG,St Louis Hawks,Western All-Star Coaches Selection,West,1963-1964
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1962-1963
Walt Bellamy,C,Chicago Zephyrs,Western All-Star Coaches Selection,West,1962-1963
Wilt Chamberlain,C,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1962-1963
Terry Dischinger,SF,Chicago Zephyrs,Western All-Star Coaches Selection,West,1962-1963
Bailey Howell,SF,Detroit Pistons,Western All-Star Coaches Selection,West,1962-1963
Rudy LaRusso,PF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1962-1963
Tom Meschery,PF,San Francisco Warriors,Western All-Star Coaches Selection,West,1962-1963
Don Ohl,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1962-1963
Bob Pettit,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1962-1963
Guy Rodgers,PG,San Francisco Warriors,Western All-Star Fan Vote Selection,West,1962-1963
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1962-1963
Lenny Wilkens,PG,St Louis Hawks,Western All-Star Coaches Selection,West,1962-1963
Bob Cousy,PG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1962-1963
Wayne Embry,C,Cincinnati Royals,Eastern All-Star Coaches Selection,East,1962-1963
Tom Gola,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1962-1963
Johnny Green,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1962-1963
Hal Greer,SG,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1962-1963
Richie Guerin,SG,New York Knicks,Eastern All-Star Coaches Selection,East,1962-1963
Tommy Heinsohn,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1962-1963
Red Kerr,PF,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1962-1963
Oscar Robertson,SG,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1962-1963
Bill Russell,C,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1962-1963
Lee Shaffer,SF,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1962-1963
Jack Twyman,PF,Cincinnati Royals,Eastern All-Star Fan Vote Selection,East,1962-1963
Paul Arizin,SF,San Francisco Warriors,Eastern All-Star Coaches Selection,East,1961-1962
Wilt Chamberlain,C,San Francisco Warriors,Eastern All-Star Fan Vote Selection,East,1961-1962
Larry Costello,PG,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1961-1962
Bob Cousy,PG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1961-1962
Tom Gola,SF,San Francisco Warriors,Eastern All-Star Coaches Selection,East,1961-1962
Johnny Green,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1961-1962
Hal Greer,SG,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1961-1962
Richie Guerin,SG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1961-1962
Tommy Heinsohn,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1961-1962
Sam Jones,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1961-1962
Willie Naulls,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1961-1962
Bill Russell,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1961-1962
Dolph Schayes,PF,Syracuse Nationals,Eastern All-Star Fan Vote Selection,East,1961-1962
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1961-1962
Walt Bellamy,C,Chicago Packers,Western All-Star Fan Vote Selection,West,1961-1962
Wayne Embry,C,Cincinnati Royals,Western All-Star Coaches Selection,West,1961-1962
Cliff Hagan,SF,St Louis Hawks,Western All-Star Coaches Selection,West,1961-1962
Bailey Howell,SF,Detroit Pistons,Western All-Star Coaches Selection,West,1961-1962
Bob Pettit,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1961-1962
Oscar Robertson,SG,Cincinnati Royals,Western All-Star Fan Vote Selection,West,1961-1962
Frank Selvy,SG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1961-1962
Gene Shue,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1961-1962
Jack Twyman,PF,Cincinnati Royals,Western All-Star Coaches Selection,West,1961-1962
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1961-1962
Elgin Baylor,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1960-1961
Walter Dukes,C,Detroit Pistons,Western All-Star Coaches Selection,West,1960-1961
Wayne Embry,C,Cincinnati Royals,Western All-Star Coaches Selection,West,1960-1961
Cliff Hagan,SF,St Louis Hawks,Western All-Star Coaches Selection,West,1960-1961
Bailey Howell,SF,Detroit Pistons,Western All-Star Coaches Selection,West,1960-1961
Hot Rod Hundley,SG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1960-1961
Clyde Lovellette,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1960-1961
Bob Pettit,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1960-1961
Oscar Robertson,SG,Cincinnati Royals,Western All-Star Fan Vote Selection,West,1960-1961
Gene Shue,SG,Detroit Pistons,Western All-Star Fan Vote Selection,West,1960-1961
Jerry West,SG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1960-1961
Paul Arizin,SF,San Francisco Warriors,Eastern All-Star Coaches Selection,East,1960-1961
Wilt Chamberlain,C,San Francisco Warriors,Eastern All-Star Fan Vote Selection,East,1960-1961
Larry Costello,PG,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1960-1961
Bob Cousy,PG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1960-1961
Tom Gola,SF,San Francisco Warriors,Eastern All-Star Coaches Selection,East,1960-1961
Hal Greer,SG,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1960-1961
Richie Guerin,SG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1960-1961
Tommy Heinsohn,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1960-1961
Willie Naulls,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1960-1961
Bill Russell,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1960-1961
Dolph Schayes,PF,Syracuse Nationals,Eastern All-Star Fan Vote Selection,East,1960-1961
Elgin Baylor,PF,Minneapolis Lakers,Western All-Star Coaches Selection,West,1959-1960
Walter Dukes,C,Detroit Pistons,Western All-Star Fan Vote Selection,West,1959-1960
Dick Garmaker,SF,Minneapolis Lakers,Western All-Star Fan Vote Selection,West,1959-1960
Cliff Hagan,SF,St Louis Hawks,Western All-Star Coaches Selection,West,1959-1960
Hot Rod Hundley,SG,Minneapolis Lakers,Western All-Star Coaches Selection,West,1959-1960
Clyde Lovellette,PF,St Louis Hawks,Western All-Star Coaches Selection,West,1959-1960
Chuck Noble,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1959-1960
Bob Pettit,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1959-1960
Gene Shue,SG,Detroit Pistons,Western All-Star Fan Vote Selection,West,1959-1960
Jack Twyman,PF,Cincinnati Royals,Western All-Star Fan Vote Selection,West,1959-1960
Paul Arizin,SF,San Francisco Warriors,Eastern All-Star Fan Vote Selection,East,1959-1960
Wilt Chamberlain,C,San Francisco Warriors,Eastern All-Star Fan Vote Selection,East,1959-1960
Larry Costello,PG,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1959-1960
Bob Cousy,PG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1959-1960
Tom Gola,SF,San Francisco Warriors,Eastern All-Star Coaches Selection,East,1959-1960
Richie Guerin,SG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1959-1960
Willie Naulls,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1959-1960
Bill Russell,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1959-1960
Dolph Schayes,PF,Syracuse Nationals,Eastern All-Star Fan Vote Selection,East,1959-1960
Bill Sharman,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1959-1960
George Yardley,SF,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1959-1960
Elgin Baylor,PF,Minneapolis Lakers,Western All-Star Fan Vote Selection,West,1958-1959
Larry Foust,PF,Minneapolis Lakers,Western All-Star Coaches Selection,West,1958-1959
Dick Garmaker,SF,Minneapolis Lakers,Western All-Star Coaches Selection,West,1958-1959
Cliff Hagan,SF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1958-1959
Slater Martin,PG,St Louis Hawks,Western All-Star Fan Vote Selection,West,1958-1959
Dick McGuire,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1958-1959
Bob Pettit,PF,St Louis Hawks,Western All-Star Fan Vote Selection,West,1958-1959
Gene Shue,SG,Detroit Pistons,Western All-Star Fan Vote Selection,West,1958-1959
Jack Twyman,PF,Cincinnati Royals,Western All-Star Coaches Selection,West,1958-1959
George Yardley,SF,Detroit Pistons,Western All-Star Coaches Selection,West,1958-1959
Paul Arizin,SF,San Francisco Warriors,Eastern All-Star Fan Vote Selection,East,1958-1959
Larry Costello,PG,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1958-1959
Bob Cousy,PG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1958-1959
Richie Guerin,SG,New York Knicks,Eastern All-Star Coaches Selection,East,1958-1959
Red Kerr,PF,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1958-1959
Bill Russell,C,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1958-1959
Woody Sauldsberry,PF,San Francisco Warriors,Eastern All-Star Coaches Selection,East,1958-1959
Dolph Schayes,PF,Syracuse Nationals,Eastern All-Star Coaches Selection,East,1958-1959
Kenny Sears,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,1958-1959
